start,end,chr,gene
106514573,106516010,9,75470
38177326,38664955,1,16764
67000517,67038872,1,14768
51081115,51102078,9,235345
27241847,27249683,13,18776
83925145,84124240,9,12040
47822143,47822805,8,100039801
29549788,29606895,17,381085
51056698,51057661,14,497106
42197971,42202252,19,54612
32949408,33143247,3,58869
20267547,20285430,17,224576
51066301,51074435,14,404319
51054640,51077094,9,244864
18514510,18535254,12,236366
142174535,142176005,7,71623
29272488,29275446,6,69573
55015131,55072152,15,319944
69724950,69744660,12,68055
113146316,113153879,12,12925
106156556,106215326,7,74558
57717967,58133230,5,54216
37832949,37838490,17,258287
109591343,109608673,8,56749
18455575,18478268,9,72230
94923694,94943280,8,382045
51060901,51119875,9,56057
55618037,55625395,14,56739
73936677,73942658,11,18321
142201364,142203015,7,77215
108578862,108597667,9,74443
57828705,57832818,11,15110
100037347,100041554,11,16672
3393006,3456601,8,102098
31202858,31310378,3,241919
167471309,168577231,X,333605
29660595,29705979,17,74157
56618475,56796468,9,235402
69420809,69549110,11,327954
54621784,54664063,13,76577
123590800,123632565,9,22599
47824482,47825476,8,75677
54476100,54480431,14,140743
142211859,142212590,7,105243090
47823959,47990924,8,52357
90322200,90326360,2,257665
90322200,90326360,2,100042690
84100654,84111349,12,217700
179960472,180165603,1,226751
106538178,106714274,1,12043
23551258,23551648,13,319157
142228795,142229971,7,114666
25168999,25467321,18,225289
77584158,77596125,15,328561
80165031,80311729,9,17920
100046646,100050551,11,16660
16956118,17223932,19,353211
47015669,47057306,4,75691
78370657,78373466,6,18489
13177719,13178669,7,100312474
142240344,142241078,7,105244938
103051300,103052259,7,258752
40895270,40900387,6,232717
21734494,21735471,8,13216
21734494,21735471,8,13240
21734494,21735471,8,503491
4064841,4077736,11,380683
51091077,51106151,14,58809
90726906,90741517,3,384997
73044854,73097629,9,11891
18040676,18049051,2,72668
40203773,40239828,4,230073
109996521,110010411,5,69504
49672333,49684825,X,236784
51091150,51102009,14,11727
25400053,25412886,7,232983
73610660,73775346,2,108699
83220300,83324255,4,69863
119394878,119411102,8,56690
25516042,25539857,7,26367
23995939,24005656,1,68002
9622936,9675208,10,320825
22622205,22693874,2,14417
100080848,100088226,11,16670
123529759,123592600,9,83493
25127223,25169007,18,66648
3508030,3658052,3,30942
23553262,23560686,13,14957
37847483,37852057,17,258892
42247574,42270348,19,71146
17938756,17953875,11,68145
17619354,17644828,16,77626
49081260,49117587,9,80893
15051841,15112108,9,244698
101418812,101425333,11,73635
131853678,131859747,2,71995
32187541,32200279,11,16199
142296334,142297118,7,50774
127561390,127566940,7,105180375
87022014,87077774,9,266690
92574636,92576172,13,79401
37275835,37348432,9,245902
108825065,108825997,7,258721
13280970,13294052,X,13205
78375874,78378865,6,30053
77367185,77515088,1,13838
46861203,46878142,7,16833
89401004,89411870,3,319945
112927454,112969432,13,218629
108844788,108850529,7,258720
73960817,73967812,11,258343
152236982,152266350,3,68810
157566892,157645888,3,19218
85492576,85527560,8,108682
129458359,129536602,2,228592
23250762,23251682,7,100043088
159627272,159978069,X,58194
5788488,5800962,11,13169
59445742,59585227,13,67269
110621135,110624452,9,67169
36747378,36748650,5,117197
5607620,5807982,14,101055754
5607620,5807982,14,102637020
101406839,101417615,11,69684
56866923,56947437,4,242474
4490931,4497354,1,20671
21776599,21795185,8,13214
23272801,23278900,7,628664
20345425,20375772,17,22312
30545863,30549665,19,13380
55811375,55838899,16,80859
92611091,92711947,13,218442
14978864,15064232,17,381062
14978864,15064232,17,100041574
14978864,15064232,17,100041621
31455891,31531053,15,223455
8413305,8422157,X,67985
89400988,89402793,3,57275
83278145,83355195,5,243078
120456019,120504913,2,12335
19054690,19074447,7,83434
101425085,101435673,11,217201
26260334,26270619,7,100312477
49073795,49086751,6,75593
56665627,56694539,15,15117
77633951,77643286,15,328563
56106917,56116880,10,73390
78380709,78383827,6,19694
33949909,33951477,17,54218
56014293,56228689,10,544696
8327424,8336237,X,385312
34663257,34687438,4,24060
3284212,3328877,2,18108
53287270,53700376,6,231991
49085223,49214957,6,140488
142303549,142304594,7,50775
44384102,44400187,7,20981
100548439,100726983,12,73086
66775202,66795490,9,208117
62050234,62054158,4,381530
98770712,98778150,15,22410
18055237,18212388,2,17354
8366978,8375390,X,387131
31654869,31937630,12,238123
6658521,6677475,11,56089
55405921,55754285,1,227120
91184061,91202834,2,22259
26838664,26841565,17,18091
91948904,91963068,5,68098
25379527,25398710,7,16890
69964779,69967885,11,53624
45374321,45503282,1,12832
84146131,84148489,12,70481
6703892,6730431,7,18616
84114366,84147498,12,105000
118208213,118291405,4,19268
29279593,29290680,6,245884
19076227,19082776,7,13401
132355923,132422489,4,100169
91384563,91549808,12,22095
114130386,114139323,5,22256
58009064,58062034,11,73158
6885796,7052478,10,320495
16234585,16244154,7,319430
103081885,103088315,7,259056
28963953,28966811,19,74411
103097720,103098749,7,259091
28893042,28967800,19,381218
108424865,108445209,3,20226
18414881,18461397,X,75905
42518759,42592343,19,52013
44360043,44385820,7,69349
33761545,33814595,1,98403
121357714,121363737,2,12716
40247703,40258108,10,67371
139086243,139093405,X,75125
34074274,34078007,13,22151
108867208,108872379,7,258136
24677225,24725852,8,11497
119434124,119446256,8,71839
19052826,19064810,8,360214
30417712,30419854,7,23900
44310253,44360572,7,243961
12693998,12733105,7,629079
7675169,7693254,6,27053
3457105,3467680,8,69129
42593982,42612813,19,67573
37034909,37048964,14,57811
19111931,19114839,8,77674
10024601,10038168,1,26754
55105311,55134825,13,26919
18195654,18392830,2,13418
37817726,38634239,12,217480
131909957,131956130,2,111368
10177238,10349180,15,19116
26681814,26687460,1,210940
30421732,30428746,7,243910
131950861,131956130,2,26434
115106323,115134281,4,81906
18478359,18485298,9,73503
84173731,84185217,8,244551
103118403,103125638,7,259115
10790505,10790914,16,19120
36679215,36683861,18,67843
20419163,20420059,17,665525
32205415,32208984,11,78372
131909928,131938429,2,19122
87885029,87894174,5,69592
29319140,29336019,6,330277
36698118,36773553,7,243931
6084983,6091777,19,67849
51130307,51165517,9,102635385
121363728,121387168,2,140476
53608032,53608432,X,72865
13213020,13220657,7,171260
55250609,55336564,11,245827
36666681,36679366,18,24068
36666681,36679366,18,225372
3122492,3123412,18,100312476
78395623,78408106,6,19693
25461707,25477603,7,26365
35916434,35932283,17,52040
122636986,122641191,2,433470
23301192,23362277,7,446099
69193895,69206194,2,66442
139210042,139238335,X,245631
86318218,86325630,7,258614
30654360,30691317,14,328370
3154658,3169203,7,245128
35517100,35531015,17,240084
16246743,16259540,7,12273
95988429,95996001,3,67220
28835049,28913960,19,20510
134190804,134203004,4,665186
129592835,129632228,2,19261
8741413,8756069,19,56389
89007563,89018340,2,258895
34496087,34513991,5,231130
10791380,10796134,16,19119
30567551,31765033,19,19091
13076821,13271415,2,20163
11321039,11336146,19,109225
86061772,86087952,Y,100039905
27259436,27276667,13,67000
90643465,90688366,11,71943
86332176,86337586,7,258610
10566602,10610352,18,77805
108880188,108885006,7,258303
119300010,119320546,4,66101
94570010,94695517,16,13548
58635167,58638739,16,224247
14911663,15001085,8,234094
3470862,3487181,8,76406
22178686,22179582,13,632534
103402405,103430470,15,74174
12768090,12803635,7,232875
92374676,92381217,2,18633
725128,797409,Y,22767
157894248,157925077,3,107869
24751003,24758008,5,214301
58844028,58885340,3,229320
32095528,32110820,2,227721
142325837,142373753,7,320802
72755716,72868483,5,21682
156147239,156180238,2,170791
113040593,113185517,X,12662
67025154,67035312,11,338369
51213708,51240080,9,18985
69892614,69966417,12,73991
19123752,19126540,8,360211
108893461,108894420,7,277935
52442990,52452574,14,57271
108921852,108930178,7,244202
85793441,85851576,1,12283
71182560,71249817,17,64898
142375911,142388038,7,13033
71019611,71027371,11,67139
3328949,3332643,2,227522
53642488,53643682,X,66158
19140759,19143010,8,546038
98726734,98738480,4,381591
72642980,72700579,1,319695
11981339,11996983,15,20024
53669177,53670408,X,553127
19157886,19159578,8,78128
22187075,22188141,13,252907
84210678,84237055,8,212168
92365046,92374869,2,228366
49244191,49263030,11,17308
89021336,89032065,2,258903
113643213,113655533,8,668110
3493138,3497208,8,140482
23385889,23441922,7,23968
20462373,20481236,17,627805
71007164,71019841,11,116891
108934417,108942951,7,66085
44086613,44102441,1,75623
86360854,86366928,7,258609
25944453,25976753,8,52120
69803750,69893200,12,399510
104854952,104857267,X,272790
16272013,16273617,7,66300
4773206,4785739,1,27395
36794867,36796772,5,67568
28776117,28780252,1,210962
101746565,101819055,12,23876
22213672,22223160,13,171259
73979967,73990407,11,258705
37714190,37724490,3,381438
20502299,20503195,17,171228
7873055,8099209,15,545085
191036639,191042942,1,75558
106675005,106680584,7,258445
156804166,156939626,1,78255
105395392,105412229,9,66595
83299739,83350247,15,66251
818649,844224,Y,22202
106720459,106759727,1,70750
13216973,13249213,12,104721
86385657,86386658,7,258089
58156268,58204306,9,26968
70204664,70219711,10,69563
89052296,89061187,2,258815
126812462,126815868,X,237029
51677756,51730432,10,320995
90638173,90644931,11,69802
71272714,71360713,8,17925
58196297,58204319,9,320563
24411776,24503140,9,244745
22244215,22245105,13,626299
53674786,53689333,17,72415
21390071,21417637,12,22630
113635587,113645179,8,270096
67037905,67052594,11,66358
78422711,78428667,6,19692
113156421,113166048,12,104732
110076136,110094420,5,102638847
10358532,10410153,15,268782
89415472,89418383,3,54124
58727910,58734251,16,224250
85537633,85555344,8,56445
92751590,92794818,13,21828
86391810,86397789,7,258612
120842831,120907450,7,13631
103154792,103156356,7,259054
51270258,51278569,9,100502940
4862440,4874359,12,432628
105162156,105395524,9,208583
62057248,62122655,9,93683
45799022,45804604,4,72535
99298691,99315036,14,12224
10796326,10796886,16,19118
82650433,82690650,10,74782
13113457,13127163,1,383491
30727701,30729540,7,69804
26941253,26972434,17,240057
4076899,4086972,6,12068
22270522,22281230,13,171257
43811294,43816359,7,23993
73101836,73104438,9,66991
84324026,84342978,15,64099
169655501,169695813,1,19737
127536714,127553349,3,28036
131153181,131187658,1,16865
5637483,5648130,19,19697
78466269,78468872,6,19695
3218784,3249740,7,378425
34302434,34317478,6,11677
8454345,8461726,X,387132
76703980,76982547,2,22138
12804977,12818858,7,67230
48447956,48451522,17,70026
73113426,73123333,9,225215
24393663,24410054,5,74610
98206389,98321208,7,66190
91145089,91170795,1,329207
81363669,81400077,15,70356
25773776,25783332,17,67563
3336168,3340993,2,78245
122946850,122961188,4,76574
82629828,82650799,10,21665
82629828,82650799,10,545124
7417625,7425904,19,108899
21823539,21831296,8,387334
95999832,96058466,3,22365
46749087,46929867,13,16553
44106546,44118808,1,72050
105403539,105527319,9,235574
20540517,20564756,17,627814
88199213,88259722,8,214627
168654117,168673898,X,17692
6105782,6115792,19,381204
19194357,19195212,8,244332
8771323,8793715,12,20969
5218526,5415857,3,80892
24974925,25063152,12,77480
106764071,106796728,1,20479
4091480,4095445,11,67900
109034312,109083331,7,320360
92844760,92858230,13,382793
32209585,32222300,11,13650
77897575,77902536,10,237387
31556134,31560976,13,15220
89072241,89083513,2,258901
69697307,69707584,14,71843
20573829,20596259,17,224582
85636588,85700924,8,74513
131989415,132030258,2,215653
108950338,109034460,7,22141
3076875,3078817,X,100861966
22357543,22434091,4,269514
25779843,25785673,17,68977
15239045,15259416,9,69137
84054761,84417382,5,13839
12682406,12769664,17,16004
25477632,25754157,18,108013
101404384,101420849,X,56364
127039972,127063986,X,211208
151204121,151205065,1,73176
3500457,3515232,8,94178
35081861,35101543,2,98870
86403846,86414024,7,257958
11611583,11635757,8,102334
24527241,24534210,17,328778
19875742,19887965,7,319930
45809468,45826923,4,75426
69965012,69987002,12,64010
105348843,105369881,8,277973
39016155,39065541,2,76899
159232320,159347640,1,26374
66814994,66834726,9,68318
43824499,43832030,7,19144
100092193,100096241,11,53617
103167074,103178340,7,258139
87617164,87659542,11,327992
49723577,49735059,X,236785
106684980,106691814,7,258444
10835059,10892966,16,223970
22289920,22298360,13,100312484
98754898,98817537,4,242553
103184803,103192965,7,404317
69746848,69791267,12,71091
74044033,74056551,11,259005
98789857,98793837,15,22408
51593341,51605771,12,12810
153741274,153773310,2,13589
74053127,74056615,11,259006
40287458,40302186,10,11702
106711031,106716396,7,258591
75659261,75669407,2,229279
62083476,62087342,4,17842
91987475,91995320,5,381651
122044443,122180123,3,11304
24508562,24527938,17,224619
87925579,87932665,5,12994
151344477,151364422,1,117198
46888949,46919969,7,22088
57237635,57370719,2,14571
36806921,36830653,5,17160
48454901,48539714,17,76589
79817916,79818364,6,100463512
10631532,10636530,7,171262
70441882,70468158,Y,108168524
70441882,70468158,Y,108168527
70441882,70468158,Y,108168532
3341982,3397210,2,99035
91555262,91590487,12,83602
32636221,32757820,9,23871
114101170,114187024,2,11834
93040713,93144724,13,76469
110103975,110108197,5,107999
34126748,34130466,13,73710
134211970,134227383,4,329954
53755506,53785224,1,98267
21839926,21843482,8,13215
108602942,108649386,9,23807
121981606,121997110,9,215494
33955812,33966984,17,224705
21858901,21862011,8,246085
7959260,7978071,X,14460
88002549,88008534,5,20599
99920254,99980448,7,108937
21881713,21885421,8,246079
120403896,120461700,2,76051
33782643,33929863,8,19663
24011093,24100341,1,68187
68736995,68749241,7,66412
87979439,87981544,5,70977
71248561,71272934,8,76478
85717578,85840921,8,71927
40928927,40994535,19,17060
107681500,107710475,9,20350
191045826,191062932,1,68972
3326573,3531344,17,24001
88885992,88929515,10,216225
80018877,80810143,6,243499
74069955,74087292,11,327963
12841079,12868143,17,17171
71880638,71908750,6,69956
20030633,20059554,18,13506
37054830,37064946,14,239037
110099969,110105953,5,403178
16274042,16286795,7,243846
113185930,113189523,12,69195
49278304,49282769,11,258463
106740834,106742443,7,258592
23289431,24014491,14,16531
106749889,106755397,7,258595
139333683,139338169,X,22037
30933143,30945591,5,68567
95058530,95106930,3,18720
119446719,119472640,8,117148
104492790,104863406,6,53870
13277283,13311433,7,16881
151520672,151633859,X,320595
69803603,69805624,11,380705
108792973,108820148,12,22632
121911253,121915781,14,110168
121878620,122021034,14,68889
92006074,92043883,5,53886
59043753,59138983,4,100155
61105572,61132149,18,12978
43310848,43336115,9,72169
37659902,37669235,9,208098
18751507,18763996,9,18322
9857078,9890034,2,14462
100102007,100105626,11,16673
131176410,131245258,1,54354
34525838,34563641,5,24055
8514052,8524954,X,546263
72285637,72442610,2,65964
78188973,78199757,13,13865
121952551,121965195,14,321019
37798991,38287390,2,227801
87144306,87184045,9,244958
20623846,20624877,17,14290
20734875,20794088,14,12325
56377330,56402513,10,14609
106787963,106793198,7,258180
33951999,33956001,17,20084
94974751,95014217,8,14766
84934782,84981472,18,50764
36239933,36283147,15,30945
10959275,11066157,16,56722
100117327,100121566,11,16663
6730578,6967219,7,57775
55899888,55934855,16,74201
897788,956786,Y,20592
27009926,27021089,2,381356
34688559,34730206,4,69329
19083849,19093821,7,13400
127721182,127736554,X,73934
78574346,78584502,10,216136
66390890,66427517,7,56847
90604725,90646412,6,71699
62270729,62282208,9,66712
30950853,30960361,5,50907
8542608,8548255,X,668976
4510472,4621752,19,18563
20687508,20688404,17,171225
77907722,77970563,10,28240
36112110,36171259,X,16164
18814728,18819526,9,258598
67052670,67067070,11,52892
37776249,37799103,2,241324
120355312,120404113,2,211499
34162964,34178173,13,69666
59316735,59344394,3,242050
8583404,8591816,X,278174
101834043,101913267,12,109181
10687789,10730168,7,210045
89094188,89106835,2,258902
62147932,62150863,4,381531
18854933,18859080,9,259070
19903578,19921160,7,52118
59113855,59153618,3,140795
86459921,86469557,7,257929
32804760,32810477,16,381043
13139105,13374083,1,17978
89109086,89117283,2,258904
12117831,12185683,15,22763
100006172,100034728,7,69121
22324589,22332866,13,171278
73214333,73222453,X,27083
52458829,52467495,14,57270
86486322,86492484,7,257905
55394500,55423183,11,20692
100131758,100135928,11,16665
18879817,19018985,11,17268
33773750,33781575,17,57875
36537507,36547445,1,109346
69810965,69815298,11,105243794
117574836,117689507,3,75769
70245100,70285968,10,66859
59005825,59318682,3,329650
69816566,69818465,11,108803
31902507,32200180,3,72413
49782536,49797749,X,209268
8513429,8621568,16,268860
112987802,112990777,13,218630
134228041,134238399,4,194231
107533945,107538673,9,56395
36530188,36536883,1,78321
103211862,103212845,7,258378
69820876,69822180,11,74288
169741477,169747642,1,19736
153856188,153871084,2,76407
78962974,78984946,11,16859
69717000,69732541,14,105513
31359880,31436078,14,24056
100691813,100729376,15,207839
65225517,65233359,12,70948
84246238,84249719,8,101966
80383279,80405733,11,22680
103216996,103222313,7,258246
69222419,69223618,3,71619
21015985,21028817,9,15894
161040601,161070658,1,226539
31625816,31631403,13,14238
86711110,86718283,18,12405
180165238,180199602,1,67426
112993845,113000394,13,622408
107539007,107542193,9,56368
11375523,11392790,19,666907
58759544,58763176,16,259003
101442298,101445529,11,19942
101442298,101445529,11,108167922
29376671,29388468,6,12057
100140810,100148665,11,16669
11404770,11427246,19,64380
4611785,4615667,19,225875
3282901,3292837,19,353242
45848664,45887008,4,74152
43841971,43851181,7,68668
69316861,69560802,3,242083
20776059,20777501,17,171226
73148796,73158872,X,627081
69823122,69837784,11,216856
18874693,18878369,9,258559
128103301,128237736,1,226412
31336638,31371986,14,12339
37067929,37073743,14,239038
132458731,132463921,4,67219
29348069,29377110,6,12321
20814495,20815415,17,171224
10644411,10706771,18,106861
110624789,110654161,9,235627
86484657,86499025,11,76892
21029373,21030595,9,78369
96104527,96161129,3,229603
122995652,123002485,4,16918
6119399,6128304,19,69024
79609576,79658956,15,75729
108455694,108536536,3,229722
103800605,103809444,3,140917
3260924,3283017,19,20589
21032073,21039036,9,15898
119479602,119501698,8,234788
114146535,114250761,5,100705
38449259,38484844,3,99696
67306955,67358443,5,109108
90656088,90988685,6,232227
86498871,86544805,11,72508
73175302,73176989,X,667379
73175302,73176989,X,100041594
73175302,73176989,X,100041642
73175302,73176989,X,100504429
52764634,53188538,11,320027
73117047,73129262,X,434795
73117047,73129262,X,574404
106805395,106808834,7,258593
53806876,54195168,1,329152
123016597,123054949,4,66966
73192207,73202930,X,574437
31806633,31812476,13,17300
20846551,20847501,17,171231
59096448,59101821,3,229323
84249906,84257326,8,67873
13748410,13806481,9,77116
18937122,18948940,9,258075
86519968,86528497,7,258611
98350668,98361328,7,244152
13466110,13489313,X,236690
59216272,59262871,3,70839
24557047,24696293,9,320752
22350364,22360301,13,171254
69968222,69982517,11,54351
16540790,16619489,1,66799
31398735,31516811,6,27418
13256481,13417529,16,239719
73107635,73292976,X,574438
89122885,89133054,2,258177
33737190,33739312,7,233090
127553489,127618023,3,71643
91179822,91225196,1,51801
19280850,19510623,4,30952
10744543,10754364,7,252910
59178923,59195104,3,84111
37900437,37906795,17,258374
17326141,17356667,19,14537
78101267,78197134,1,18505
48932379,49097588,17,70530
59207892,59210882,3,74191
69767472,69784411,14,21933
43881160,43885804,7,56640
24625196,24625824,9,235067
24625196,24625824,9,664724
24625196,24625824,9,664726
91485238,91507441,16,15975
84222296,84296141,13,72745
17394043,17401349,19,54391
36993604,36995533,8,621080
37077857,37098347,14,170677
118846329,118852576,12,320145
32334792,32366014,3,22401
108534150,108544723,3,75504
11443553,11463549,19,60361
67078300,67102291,11,17883
93146282,93192385,13,100715
32757026,32775633,2,338348
55045661,55080110,12,72658
23561534,23562369,13,319151
39745930,39760938,15,75766
78448208,78475348,9,68291
19198706,19201545,8,56519
85894281,85908675,1,64294
101448407,101458698,11,70110
90398683,90403897,2,258330
3247428,3309969,12,19325
73228291,73230795,X,14070
113297510,113836386,X,93837
31819579,32338740,13,218138
49285282,49295891,11,258462
66843664,66919687,9,235442
103249737,103252505,7,384701
13276338,13491813,2,65969
20059560,20097521,X,60322
73137232,73149450,X,434795
73137232,73149450,X,574405
113035111,113091195,13,238896
15260351,15279931,9,234959
88505807,88506978,16,239931
66283379,66284401,12,238217
169928648,169934653,1,78465
164373378,164402650,X,14205
36684923,36695925,18,240216
36195904,36199158,X,72693
62392676,62456289,14,239134
73233688,73243130,X,72891
40920437,40940557,6,73481
31868764,31948573,19,69865
89582533,89591923,15,68708
64697084,64922296,15,11514
113042759,113046386,13,69590
69981156,69990601,11,67181
105382807,105413502,8,279499
51114426,51117807,14,219026
13517080,13851367,X,12361
99870632,100284679,14,16597
100186781,100193246,11,107656
107253593,107279938,4,72938
134243289,134245592,4,68040
5109787,5116950,7,192658
101485131,101491512,15,100126226
125865271,125938619,3,22239
88560828,88563183,16,54420
54507187,54517525,14,27374
88626786,88627666,16,69699
38793645,38836711,1,381338
88272403,88329962,8,11513
87662722,87735539,11,207742
11074911,11134650,16,106200
21320698,21355028,9,68682
13258967,13278721,7,321008
153875045,153895270,2,66557
84949685,85173766,16,11820
56716465,57387188,7,14407
24925352,24935252,2,215705
88671026,88671671,16,239933
8921664,8938742,12,17775
103305648,103312782,7,100041187
22482780,22488366,4,18992
73254540,73265390,X,22446
19223108,19311322,3,18583
52488791,52495749,14,57269
91575315,91577558,11,73470
66946086,66949516,9,67941
88707169,88707962,16,69661
21905376,21906412,8,246081
46303221,46328352,17,224814
129686565,129699844,2,18610
51388412,51396738,3,67749
40339564,40483818,10,78334
74113712,74122941,11,258701
73282896,73292976,X,27084
4504814,4541544,6,12843
7844842,7875687,6,94192
21929799,21932710,8,246082
88665224,88927481,18,54607
86583862,86591128,7,258850
106814129,106821472,7,66786
180641150,180690694,1,72568
51123908,51132187,14,78416
21938352,21940878,8,246084
8004200,8018492,X,69824
22379818,22388102,13,171247
132052496,132145108,2,54338
21946762,21948850,8,246083
26307169,26315088,7,13086
89143508,89151560,2,258894
20889716,20890651,17,171230
28801090,28838546,17,268936
34179158,34345182,13,73102
8684887,8690844,X,631002
37102140,37114022,14,70045
86615636,86616643,7,257904
21958714,21964303,8,97476
105373274,105382862,8,102075
64153835,64269775,7,17364
117781647,117868936,3,76561
20913205,20914363,17,171227
57243767,57477625,15,210463
24802823,24842624,5,19744
139480367,139554582,X,102871
18987990,18988928,9,258074
32757234,32762244,2,30933
23798102,25144261,3,635702
55152640,55168759,13,14186
102525946,102625464,15,223922
118359990,118362744,4,68180
119444904,119465517,9,208194
86649061,86666045,7,257906
3289179,3331099,7,18752
49243924,49264033,6,101214
8748432,8754587,X,382206
22774094,22875653,2,54519
