patient,chr,start,end,type
CONTROL3,2,97165816,97204962,Loss
CONTROL3,18,7494652,7892770,Loss
CONTROL3,2,50206880,50876834,Loss
CONTROL3,14,74970811,75761484,LOH
CONTROL3,2,18727290,19329600,Loss
CONTROL3,14,97287165,97513066,LOH
CONTROL3,17,34933159,35625127,Gain
CONTROL3,18,11773035,12710485,Gain
CONTROL3,5,94386757,95050285,Gain
CONTROL3,2,89863924,90423347,Gain
CONTROL3,16,36548711,37016608,Gain
CONTROL3,20,26424204,27111930,Gain
CONTROL3,14,62155886,62759302,LOH
CONTROL3,8,8380764,8554842,Gain
CONTROL3,Y,36864983,37151136,Loss
CONTROL3,4,113483778,114111731,LOH
CONTROL3,4,6205057,6818263,Loss
CONTROL3,18,49976671,50958019,LOH
CONTROL3,15,54018282,54548143,LOH
CONTROL3,7,64070031,64246612,Loss
CONTROL3,13,28299639,28700230,Gain
CONTROL3,16,76850558,77166525,LOH
CONTROL3,21,17206943,17355538,Gain
CONTROL3,6,157806435,158782817,Gain
CONTROL3,13,93805681,94237874,Gain
CONTROL3,8,100624744,101076674,Gain
CONTROL3,4,159680942,160584574,Gain
CONTROL3,12,105452925,106432580,Gain
CONTROL3,3,65698959,65775308,Loss
CONTROL3,6,147609090,147708253,Gain
CONTROL3,11,49707101,50242366,Gain
CONTROL3,11,52100603,52876198,LOH
CONTROL3,10,59758775,60702173,Loss
CONTROL3,17,75928316,76248830,Loss
CONTROL3,X,120409289,120529548,Gain
CONTROL3,6,12009159,12576873,LOH
CONTROL3,15,40707811,41644606,LOH
CONTROL3,17,63422820,64358982,Gain
CONTROL3,17,67673029,68178349,Gain
CONTROL3,17,52795405,53448149,LOH
CONTROL3,11,69804063,70106996,Loss
CONTROL3,14,47213783,47687254,Gain
CONTROL3,11,51332720,51957532,Loss
CONTROL3,7,40055150,40797236,LOH
CONTROL3,14,21508836,22340369,Gain
CONTROL3,14,2162085,2462311,Loss
CONTROL3,5,73424316,74175805,LOH
CONTROL3,13,108450582,108916566,LOH
CONTROL3,1,191561523,192424032,Loss
CONTROL3,7,23075827,24051611,Loss
CONTROL3,5,148705366,149515690,LOH
CONTROL3,1,217978307,218842148,Gain
CONTROL3,21,1144296,1760457,Gain
CONTROL3,X,21095994,21663516,LOH
CONTROL3,10,131170483,132121042,Loss
CONTROL3,22,18268462,18943660,LOH
CONTROL3,11,33231791,34030701,Loss
CONTROL3,8,111386615,111941734,Loss
CONTROL3,16,52437713,52577012,Gain
CONTROL3,5,25070629,25884479,Gain
CONTROL3,1,195888503,196806611,LOH
CONTROL3,9,15473437,15954900,LOH
CONTROL3,20,9928052,10882735,Loss
CONTROL3,21,9422576,9811426,LOH
CONTROL3,6,90314782,90716725,Gain
CONTROL3,16,71729979,72264145,Loss
CONTROL3,14,1551959,2426715,Loss
CONTROL3,5,5921923,6072339,Loss
CONTROL3,1,9386022,10238765,LOH
CONTROL3,Y,56882740,57073147,Loss
CONTROL3,22,37811365,38241049,Loss
CONTROL3,11,98035793,98183536,Loss
CONTROL3,15,19121562,19667496,Loss
CONTROL3,14,18807380,19528453,Gain
CONTROL3,6,89352041,90008796,Loss
CONTROL3,17,57625709,58384166,Gain
CONTROL3,18,5426989,6402401,Loss
CONTROL3,X,50502416,51214415,Loss
CONTROL3,17,33931755,34816453,LOH
CONTROL3,Y,29436349,30075864,Loss
CONTROL3,16,88767296,88822254,Gain
CONTROL3,11,116580405,117544777,Gain
CONTROL3,21,43797041,44201835,LOH
CONTROL3,6,99294166,99651399,Gain
CONTROL3,6,150425291,150537496,Loss
CONTROL3,Y,44143536,44264382,LOH
CONTROL3,10,94554715,94744012,Loss
CONTROL3,7,81165450,81629166,Loss
CONTROL3,16,69668663,70552497,LOH
CONTROL3,13,15472982,16084614,Loss
CONTROL3,17,5567899,6117654,Loss
CONTROL3,21,42848629,43450998,Gain
CONTROL3,6,140538027,141336944,Gain
CONTROL4,19,57497619,58352568,Gain
CONTROL4,18,68641289,69077872,Loss
CONTROL4,9,120817177,121479119,LOH
CONTROL4,9,42639538,43123138,LOH
CONTROL4,18,59927038,59975704,Gain
CONTROL4,Y,52962786,53221111,Loss
CONTROL4,21,16051324,16209777,Loss
CONTROL4,7,5058524,5836254,LOH
CONTROL4,1,105538901,105752655,Loss
CONTROL4,16,40346364,40397072,Loss
CONTROL4,16,4910025,5065880,Gain
CONTROL4,Y,26941026,27626255,LOH
CONTROL4,20,3496392,3970708,LOH
CONTROL4,5,45205871,45283781,LOH
CONTROL4,13,74608185,75293813,Loss
CONTROL4,19,16704709,16907488,Loss
CONTROL4,7,18323860,19314412,Gain
CONTROL4,4,163121932,163166547,Loss
CONTROL4,9,127439367,127889125,Loss
CONTROL4,7,15166424,15592065,LOH
CONTROL4,20,43710165,44535370,Gain
CONTROL4,14,80503182,81268593,Gain
CONTROL4,17,25324579,26194098,LOH
CONTROL4,9,78647453,79642367,Gain
CONTROL4,8,36081571,36768857,LOH
CONTROL4,X,123839152,124483848,Loss
CONTROL4,5,112190484,112909179,Gain
CONTROL4,6,105566613,106168786,LOH
CONTROL4,7,97020686,97479929,Loss
CONTROL4,4,58462905,59332895,LOH
CONTROL4,2,164378060,164564852,LOH
CONTROL4,6,78396391,79357933,Loss
CONTROL4,14,4450531,4727057,LOH
CONTROL4,20,54730941,55234037,LOH
CONTROL4,4,26818279,26989789,Gain
CONTROL4,22,18984025,19738697,LOH
CONTROL4,20,36319939,36796350,Gain
CONTROL4,Y,48544607,49536698,LOH
CONTROL4,18,74533950,74563376,Loss
CONTROL4,8,16225342,16825624,Gain
CONTROL4,12,73611690,74290492,Loss
CONTROL4,13,76385660,76942377,Gain
CONTROL4,3,36704770,36941235,Gain
CONTROL4,11,3073533,3991108,Loss
CONTROL4,20,26427713,26761436,Gain
CONTROL4,17,11792711,11905979,LOH
CONTROL4,11,67174941,67844470,Gain
CONTROL4,5,31864118,32576253,Loss
CONTROL4,20,15852122,16776905,LOH
CONTROL4,8,29387205,29568306,Gain
CONTROL4,2,170043379,170260742,LOH
CONTROL4,11,113285585,113810972,Loss
CONTROL4,22,5286496,5790212,Loss
CONTROL4,6,29697672,29935261,LOH
CONTROL4,20,28001141,28299188,LOH
CONTROL4,X,93274076,94130487,Gain
CONTROL4,13,16088151,16459530,Loss
CONTROL4,20,34803208,35025672,LOH
CONTROL4,19,35627402,35644653,Gain
CONTROL4,Y,38323540,38643677,Loss
CONTROL4,19,23580568,24259494,Loss
CONTROL4,13,22522975,22836422,Gain
CONTROL4,17,42253231,42455405,LOH
CONTROL4,10,72453268,72593099,Gain
CONTROL4,17,20856520,21087102,Gain
CONTROL4,10,15726346,15875407,LOH
CONTROL4,13,2634649,3190075,Gain
CONTROL4,3,62877843,63851795,Loss
CONTROL4,X,78162003,78913255,Loss
CONTROL4,11,19587404,20146886,LOH
CONTROL4,5,35751809,36667610,LOH
CONTROL4,17,22725821,23646713,LOH
CONTROL4,4,77792328,78320912,LOH
CONTROL4,16,69171211,69725687,Gain
CONTROL4,6,40351014,41060564,LOH
CONTROL4,X,142693451,143636147,Loss
CONTROL4,22,14827406,15182481,Gain
CONTROL4,18,13558815,14429122,Gain
CONTROL4,9,88997404,89430535,Loss
CONTROL4,7,78223028,79016600,Gain
CONTROL4,6,169895392,170070881,Loss
CONTROL4,X,59005137,59398597,LOH
CONTROL4,3,183760942,184316777,Gain
CONTROL4,6,96684863,97418331,Gain
CONTROL4,19,30508589,30603743,LOH
CONTROL4,20,45909673,46043360,Gain
CONTROL4,8,109280859,110092385,Gain
CONTROL4,12,18655661,19490453,Gain
CONTROL4,8,75239412,75578327,Gain
CONTROL4,14,39884382,39899412,Loss
CONTROL4,11,123104497,123956229,LOH
CONTROL4,9,135137896,136095339,LOH
CONTROL4,7,67233969,67666235,Gain
CONTROL4,9,68077773,69050192,Gain
CONTROL4,Y,31117956,32021707,Gain
CONTROL4,12,113468752,114241156,Gain
CONTROL4,18,12183687,12947005,LOH
CONTROL4,Y,13659085,14330060,Loss
CONTROL4,18,22676745,22882110,LOH
CONTROL4,20,56607665,57005852,LOH
CONTROL4,2,12625784,13579519,LOH
CONTROL5,17,11582386,12421367,Loss
CONTROL5,3,85766935,86212998,Loss
CONTROL5,19,19284180,19708616,Gain
CONTROL5,13,60370109,60667025,Loss
CONTROL5,7,27835461,27873501,LOH
CONTROL5,9,71961147,72668838,Gain
CONTROL5,X,97879867,98002839,Gain
CONTROL5,22,30581326,30997653,LOH
CONTROL5,X,21258967,21494791,LOH
CONTROL5,15,1044935,1190424,Gain
CONTROL5,18,9504794,10125934,Loss
CONTROL5,15,9362754,9894587,Loss
CONTROL5,20,41234758,41847558,Gain
CONTROL5,X,85005985,85285825,Gain
CONTROL5,15,84157851,84331887,Gain
CONTROL5,1,67247356,67805970,Loss
CONTROL5,13,95168993,95361012,Loss
CONTROL5,7,109566941,110485115,Gain
CONTROL5,8,140336440,140452607,Loss
CONTROL5,8,40175647,40828408,Loss
CONTROL5,22,18435733,18840324,Loss
CONTROL5,21,1367746,1503239,Loss
CONTROL5,11,53305541,53939429,LOH
CONTROL5,22,22560200,22931461,Loss
CONTROL5,7,130877287,131671338,Loss
CONTROL5,7,54088006,54652696,Loss
CONTROL5,15,95345414,95429753,Loss
CONTROL5,22,2060225,2357449,LOH
CONTROL5,19,63384885,63643348,Gain
CONTROL5,8,24261373,24684452,LOH
CONTROL5,19,47642195,48192718,LOH
CONTROL5,1,55087879,55303135,Loss
CONTROL5,11,46314332,46720767,LOH
CONTROL5,20,13722827,14446558,LOH
CONTROL5,2,133302505,133879497,Loss
CONTROL5,3,145584747,145701281,Gain
CONTROL5,19,21040493,21258146,LOH
CONTROL5,11,65412131,65912967,LOH
CONTROL5,4,141494276,141763819,Loss
CONTROL5,22,9418533,10092494,Gain
CONTROL5,19,15730704,15749309,LOH
CONTROL5,19,5402306,6155061,Gain
CONTROL5,3,108423329,108846030,LOH
CONTROL5,3,7496875,8225774,Loss
CONTROL5,X,5817384,6479604,Loss
CONTROL5,3,9004397,9209685,Gain
CONTROL5,1,154820450,155795486,Loss
CONTROL5,19,25323618,25529939,Gain
CONTROL5,9,51236842,51941267,LOH
CONTROL5,11,49087575,49693097,Gain
CONTROL5,19,33894081,34286066,Gain
CONTROL5,10,5554324,5723249,Gain
CONTROL5,18,52396370,53360151,Gain
CONTROL5,Y,32397425,32538297,Loss
CONTROL5,10,115006865,115599345,LOH
CONTROL5,18,24730167,25698124,Gain
CONTROL5,8,91517402,91796877,LOH
CONTROL5,22,30402715,30738390,Loss
CONTROL5,17,74813804,75700366,LOH
CONTROL5,18,74574217,75350360,Gain
CONTROL5,5,78661784,79355486,LOH
CONTROL5,9,139839115,140041738,Gain
CONTROL5,1,212007854,212999779,Loss
CONTROL5,18,68643387,69081989,Loss
CONTROL5,13,87535406,88265476,Loss
CONTROL5,18,38536918,39010551,Gain
CONTROL5,20,28170295,28282525,Gain
CONTROL5,Y,6350313,7098266,LOH
CONTROL5,21,25458533,26178184,Loss
CONTROL5,6,36528755,37369089,Gain
CONTROL5,4,46647275,47206588,LOH
CONTROL5,14,47666323,47852847,Loss
CONTROL5,10,14116376,14677378,LOH
CONTROL5,16,60226105,60413904,Loss
CONTROL5,15,20993911,21049810,Loss
CONTROL5,8,44320379,45113175,Loss
CONTROL5,Y,55127366,55522529,Gain
CONTROL5,4,179820473,180007539,Loss
CONTROL5,15,77783608,78077602,Gain
CONTROL5,3,44911740,45816670,LOH
CONTROL5,1,214655222,215499397,LOH
CONTROL5,4,153172261,153627012,Loss
CONTROL5,18,34425922,34812238,Loss
CONTROL5,6,154050189,154618586,Gain
CONTROL5,14,8613718,8669191,Gain
CONTROL5,21,26217073,26479150,Gain
CONTROL5,6,23440891,24333481,Gain
CONTROL5,13,10038440,10063636,Loss
CONTROL5,22,3861629,4257560,Gain
CONTROL5,16,83935642,84356642,Gain
CONTROL5,6,135546640,136088118,LOH
CONTROL5,13,108280649,109197592,Loss
CONTROL5,16,70705599,71488747,LOH
CONTROL5,3,44901732,45092621,LOH
CONTROL5,20,48976987,49502854,Gain
CONTROL5,20,36983909,37436450,Loss
CONTROL5,15,22223067,23184096,Gain
CONTROL5,X,15941536,16169273,LOH
CONTROL5,21,22052855,22517230,Gain
CONTROL5,Y,29189588,30185850,LOH
CONTROL5,3,100167814,100834045,LOH
CONTROL6,20,20404967,20813398,Gain
CONTROL6,15,43072509,43252242,LOH
CONTROL6,12,79798738,80047241,Gain
CONTROL6,6,112231755,112721700,Loss
CONTROL6,11,26444221,26869434,LOH
CONTROL6,15,18021495,18850880,Loss
CONTROL6,6,160839235,160852192,LOH
CONTROL6,14,100942485,101606290,Loss
CONTROL6,6,39248559,39697647,Loss
CONTROL6,20,40407864,41040929,Loss
CONTROL6,10,43212489,43903441,LOH
CONTROL6,9,19664025,20606665,Loss
CONTROL6,8,21187500,21302710,Loss
CONTROL6,8,130977333,131627613,Gain
CONTROL6,21,25351630,25427293,LOH
CONTROL6,19,33731874,33976974,LOH
CONTROL6,21,9120200,9982641,LOH
CONTROL6,8,45758559,46154507,LOH
CONTROL6,2,150972456,151432900,LOH
CONTROL6,8,64524867,64634217,Gain
CONTROL6,8,64574543,64685299,Gain
CONTROL6,19,21631656,22252112,LOH
CONTROL6,20,21570483,21644816,Loss
CONTROL6,15,40366749,40865480,Gain
CONTROL6,3,157768850,158585478,Gain
CONTROL6,1,230317859,230922281,LOH
CONTROL6,6,7993079,8895251,LOH
CONTROL6,22,2318394,2810783,Loss
CONTROL6,9,34287361,34494205,Gain
CONTROL6,14,23821987,24108416,Loss
CONTROL6,14,22343514,22491375,LOH
CONTROL6,6,18878910,19249513,Loss
CONTROL6,3,92613928,93389703,LOH
CONTROL6,2,200633868,201168466,LOH
CONTROL6,4,144857952,145417623,LOH
CONTROL6,12,35181203,35499214,Gain
CONTROL6,13,25334686,25999435,LOH
CONTROL6,7,3754082,4399041,LOH
CONTROL6,10,27177136,28030714,Loss
CONTROL6,2,143609805,144083322,Gain
CONTROL6,22,2457516,2850041,LOH
CONTROL6,13,64273597,64871086,Gain
CONTROL6,5,24458972,25254243,Gain
CONTROL6,14,7069038,7575308,Loss
CONTROL6,22,34360416,34440203,Loss
CONTROL6,22,47377797,47532827,Loss
CONTROL6,12,43679735,43833772,Gain
CONTROL6,15,99354830,99530929,Loss
CONTROL6,10,82182892,83029135,Gain
CONTROL6,20,51602283,52236625,LOH
CONTROL6,2,88697673,88889791,LOH
CONTROL6,4,183646397,183862867,Gain
CONTROL6,9,113342086,114260300,Gain
CONTROL6,17,27750843,27976194,Gain
CONTROL6,19,2831727,3245929,Loss
CONTROL6,13,44906576,45456500,Gain
CONTROL6,4,84188909,84382790,LOH
CONTROL6,3,117008478,117950934,Loss
CONTROL6,16,38127731,39086670,Gain
CONTROL6,Y,1267999,1702279,LOH
CONTROL6,9,106073672,106296028,LOH
CONTROL6,4,16603965,16666783,Gain
CONTROL6,8,5456311,5556304,Gain
CONTROL6,7,25162392,25862054,LOH
CONTROL6,Y,31396774,31588377,LOH
CONTROL6,21,40460035,40692957,Gain
CONTROL6,Y,4451717,4555549,Loss
CONTROL6,3,44371980,45343493,Gain
CONTROL6,16,75667677,75891092,Loss
CONTROL6,3,187826595,187907556,LOH
CONTROL6,18,14328703,14671017,LOH
CONTROL6,17,22118,913528,Gain
CONTROL6,16,12666575,13307364,Gain
CONTROL6,6,92549045,93521059,Loss
CONTROL6,15,6203866,7044192,LOH
CONTROL6,11,20789500,21228400,Gain
CONTROL6,11,96376956,97299310,Loss
CONTROL6,12,83941085,84802634,Loss
CONTROL6,1,54737823,55612309,Gain
CONTROL6,18,24198689,24728111,Loss
CONTROL6,8,25832014,26470261,LOH
CONTROL6,2,155965466,156168342,Gain
CONTROL6,4,36440997,36989047,LOH
CONTROL6,10,68949776,69869572,Loss
CONTROL6,9,89963813,90318924,Loss
CONTROL6,22,43520878,44126815,LOH
CONTROL6,10,26024075,26706312,Loss
CONTROL6,3,9205334,9893915,Gain
CONTROL6,11,33225408,33274219,LOH
CONTROL6,19,45003652,45287528,LOH
CONTROL6,6,69908507,70630290,Gain
CONTROL6,20,32906960,33137067,Loss
CONTROL6,8,20615292,21003748,Gain
CONTROL6,21,39926978,40014083,Loss
CONTROL6,19,50803628,51800198,Loss
CONTROL6,15,97182190,97429864,LOH
CONTROL6,16,22442861,23118309,Loss
CONTROL6,3,41704489,42033441,LOH
CONTROL6,X,59837250,60298100,Loss
CONTROL6,13,104519718,105512118,Loss
CONTROL6,16,62157978,62315386,Gain
CONTROL7,4,86473195,86589941,Gain
CONTROL7,Y,31859574,32597698,LOH
CONTROL7,20,61230073,62076180,LOH
CONTROL7,20,2880219,3144360,LOH
CONTROL7,15,75193385,75494185,Loss
CONTROL7,16,86847431,87034485,Gain
CONTROL7,2,62172574,63066199,Gain
CONTROL7,6,55321007,55851853,Gain
CONTROL7,4,80762,925728,Gain
CONTROL7,18,35562261,35935008,LOH
CONTROL7,13,97205080,98094145,Loss
CONTROL7,7,21817615,22208477,Gain
CONTROL7,1,239546303,240084411,Loss
CONTROL7,20,13615144,13854674,LOH
CONTROL7,15,69538981,69783091,LOH
CONTROL7,8,145847387,145867721,Gain
CONTROL7,9,26725956,27658471,Gain
CONTROL7,17,17582518,18173617,Gain
CONTROL7,14,92408909,93257932,LOH
CONTROL7,1,178699608,179613833,LOH
CONTROL7,3,29294907,30181905,LOH
CONTROL7,22,225090,928672,Loss
CONTROL7,7,46520034,47007339,Gain
CONTROL7,Y,36989834,37606649,Loss
CONTROL7,Y,50116216,50887508,Loss
CONTROL7,15,38820269,39503876,Loss
CONTROL7,19,3698653,3753611,LOH
CONTROL7,1,8898659,9886266,Gain
CONTROL7,8,69618516,70178099,Gain
CONTROL7,17,45150847,45623544,Loss
CONTROL7,21,25342753,25589996,LOH
CONTROL7,15,80788599,81028317,Gain
CONTROL7,11,4834311,5126026,LOH
CONTROL7,7,17241779,17428359,LOH
CONTROL7,10,36571787,37481789,Loss
CONTROL7,13,88006651,88620183,Gain
CONTROL7,20,3664001,4508504,Gain
CONTROL7,1,33486968,33694045,Gain
CONTROL7,22,13837202,14693252,Loss
CONTROL7,9,133320378,134184102,Loss
CONTROL7,14,73860058,74415440,LOH
CONTROL7,22,5092761,5859025,Loss
CONTROL7,X,112376262,112876120,Loss
CONTROL7,8,29079968,29587828,Loss
CONTROL7,13,37725564,37785710,Loss
CONTROL7,2,206696066,207446697,Gain
CONTROL7,14,70322323,70461679,LOH
CONTROL7,10,78696328,79139851,LOH
CONTROL7,1,140469796,140495395,Gain
CONTROL7,10,75961228,76221649,LOH
CONTROL7,22,48266269,48297484,Loss
CONTROL7,3,88015219,88843143,LOH
CONTROL7,18,72291146,72481621,Loss
CONTROL7,4,333758,623060,Gain
CONTROL7,20,55026361,55239375,Gain
CONTROL7,21,18656666,18982199,Loss
CONTROL7,Y,8434343,8860932,LOH
CONTROL7,21,3041996,3995810,LOH
